LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,CERTIFICATE_HASH
2.02185120081211E+020,"5b, Hampden Place",Alphington Street,,EX2 8AP,1883855568,F,D,33,64,Flat,Mid-Terrace,2008-12-11,E07000041,E14000698,Devon,2008-12-11,rental (private),52,50,672,699,2.5,101,2.6,17,18,400,238,186,79,25.1,Single,N,1st,N,3,No thermostatic control of room temperature,0,INVALID!,Normal,0,1,1,50,0,"Electric immersion, standard tariff",Very Poor,Poor,(other premises below),,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,None,,,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,No thermostatic control of room temperature,Poor,Poor,Low energy lighting in 50% of fixed outlets,Good,Good,electricity - this is for backwards compatibility only and should not be used,0,unheated corridor,5.62,2.76,0,N,natural,"5b, Hampden Place, Alphington Street",Exeter,Exeter,b7f5734567ce4c163de84fa2e65599377acae39c231c2b838f051e7eabcd61fc
3.28476420090908E+020,12 Block A Point Exe,Brunel Close,,EX4 4FD,3547994668,C,C,75,75,Flat,NO DATA!,2009-07-24,E07000041,E14000698,Devon,2009-09-08,rental (social),99,99,47,47,0.1,4,0.1,8,8,121,121,161,161,14.19,Unknown,N,1st,N,4,"Flat rate charging, no thermostatic control of room temperature",100,double glazing installed during or after 2002,Normal,0,1,1,100,0,"Electric immersion, standard tariff",Very Good,Poor,(other premises below),,,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,"Room heaters, electric",,,(another dwelling above),,,Community scheme,Good,Good,"Flat rate charging, no thermostatic control of room temperature",Very Poor,Very Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,waste combustion - this is for backwards compatibility only and should not be used,0,heated corridor,,2.31,0,N,natural,"12 Block A Point Exe, Brunel Close",Exeter,Exeter,3bea1cd04735b0a13fac2f5c61faf208fe4dbece8edbde2b7b931be71fe86d5c
7.45132008051411E+018,Flat 14,St John's Place,7 Bedford Street,EX1 1GH,4301247468,C,C,79,80,Flat,Detached,2008-05-08,E07000041,E14000698,Devon,2008-05-14,not recorded,79,79,192,184,1.4,-99,1.4,35,20,198,200,55,55,45.86,NO DATA!,,top floor,,,"Programmer, room thermostat and TRVs",,NO DATA!,NO DATA!,,,,,,From main system,Very Good,Very Good,(other premises below),,,Fully double glazed,Good,Good,Average thermal transmittance 0.35 W/m?K,Good,Good,"Room heaters, electric",,,Average thermal transmittance 0.25 W/m?K,Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 21% of fixed outlets,Poor,Poor,NO DATA!,,NO DATA!,,3.25,,,NO DATA!,"Flat 14, St John's Place, 7 Bedford Street",Exeter,Exeter,43b29174541c0442529b8ba95d20b40f1bad8257d4d4997b71390bb090f5feb9
1.15578272014061E+021,Flat 2 St. Margarets Court,Exe Street,Topsham,EX3 0JL,6955234278,C,C,75,79,Flat,Enclosed End-Terrace,2014-06-11,E07000041,E14000678,Devon,2014-06-11,marketed sale,76,81,133,107,1.9,25,1.6,92,51,315,271,118,119,77,Single,Y,Ground,N,,"Programmer, room thermostat and TRVs",100,double glazing installed before 2002,Normal,0,3,3,20,0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,,,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas (not community),0,unheated corridor,2.68,,0,,natural,"Flat 2 St. Margarets Court, Exe Street, Topsham",Exeter,East Devon,358d23085f7d0e19d22f564dd67a2eb2bfbf5e9ecd1ac5e9c299d8de83808cd0
1.45508252016062E+021,"4, Ferryman Way",,,EX2 7PU,3005945478,B,A,85,96,House,NO DATA!,2015-07-28,E07000041,E14000678,Devon,2016-06-20,new dwelling,89,99,70,-9,0.9,12,-0.1,54,54,195,195,52,52,75,standard tariff,,NO DATA!,,,Time and temperature zone control,,NO DATA!,NO DATA!,,,,,,"From main system, flue gas heat recovery, waste water heat recovery",Very Good,Very Good,Average thermal transmittance 0.21 W/m²K,Good,Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.24 W/m²K,Very Good,Very Good,None,,,Average thermal transmittance 0.16 W/m²K,Good,Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,"4, Ferryman Way",Exeter,East Devon,2bb2f84fddf7262fda69e64d2dd1ca5f1dad61c04076fa56ec3f0773bd4fce81
4.48343020100303E+020,Flat 2,"54, East John Walk",,EX1 2EP,5878533768,D,D,55,66,Maisonette,End-Terrace,2010-03-03,E07000041,E14000698,Devon,2010-03-03,rental (private),53,64,342,259,4.2,57,3.2,66,40,676,558,128,93,46.92,Single,Y,1st,Y,3,"Programmer, TRVs and bypass",100,double glazing installed during or after 2002,Normal,0,3,3,37,3,From main system,Good,Good,(other premises below),,,Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, electric",,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 37% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.48,0,N,natural,"Flat 2, 54, East John Walk",Exeter,Exeter,0ab7d2a7a2195c423a6091ffc192ca4a3045512eda4e44832ae81ae3b440b53a
1.14650120080612E+020,"33, Widgery Road",,,EX4 8AX,9258738468,D,C,65,77,House,Semi-Detached,2008-06-12,E07000041,E14000698,Devon,2008-06-12,not recorded,60,74,20754,172,4222.39,-99,2740.01,49.226635,41.4,405.67767,305.58,159.9524,90.46,108.2,Single,Y,NO DATA!,,,Main-Heating-Controls,,INVALID!,Normal,0,5,0,40,0,Hot-Water,Average,Good,Floor,,,Window,Good,Good,Wall,Good,Good,Secondary-Heating,,,Roof,Good,Good,Main-Heating,Average,Good,Main-Heating-Controls,Poor,Poor,Lighting,Average,Average,mains gas - this is for backwards compatibility only and should not be used,-99,NO DATA!,,2.4,0,N,natural,"33, Widgery Road",Exeter,Exeter,929525cfaa5c4c4b8beed18a51464e6f733ac4a655ed5fbe84d467fd0ea96ecd
1.27780412015021E+021,"13, Howard Close",,,EX4 2LX,2748592378,D,B,67,85,House,Detached,2015-02-06,E07000041,E14000698,Devon,2015-02-06,marketed sale,65,84,238,83,2.5,42,0.9,39,39,438,381,125,72,60,Single,Y,NODATA!,,,Programmer and room thermostat,100,double glazing installed before 2002,Normal,0,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, mains gas",,,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 100% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"13, Howard Close",Exeter,Exeter,a1620005f6c08bd17542288b5393cc4ae1383e2f344ebbbabd166cddb918869f
8.75178020130123E+020,"6, Georges Close",,,EX1 3LA,6146944078,D,B,67,81,House,Semi-Detached,2013-01-23,E07000041,E14000698,Devon,2013-01-23,non marketed sale,68,82,171,77,2.7,32,1.3,74,47,487,452,87,61,84,Single,Y,NODATA!,,,"Programmer, room thermostat and TRVs",100,"double glazing, unknown install date",Normal,0,6,6,42,0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"System built, with internal insulation",Good,Good,"Room heaters, electric",,,"Pitched, 250mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 42% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,,0,,natural,"6, Georges Close",Exeter,Exeter,590d06eb04de09aa0dc2896534b5232c78ab9befe6498fd45159409f8fbf940f
1.48045020080925E+020,Long Range,Perridge Close,,EX2 9PX,3206711568,E,D,53,67,House,Detached,2008-09-24,E07000041,E14000698,Devon,2008-09-25,rental (private),46,61,346,241,6.6,58,4.6,82,51,809,566,99,99,113.74,Single,Y,NO DATA!,,,"Programmer, TRVs and bypass",50,double glazing installed before 2002,Normal,0,6,6,40,0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Partial double glazing,Poor,Poor,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Poor,Poor,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.53,0,N,natural,"Long Range, Perridge Close",Exeter,Exeter,05e75d7004655d828c42dfafa400b09a3ba7abde2f6de8f3843d4a3826e92cbe
1.06896492014012E+021,"1, Halses Close",,,EX4 2NX,2823428178,D,A,66,94,House,Mid-Terrace,2014-01-17,E07000041,E14000698,Devon,2014-01-17,marketed sale,53,82,313,94,3.1,55,0.9,39,39,307,202,228,75,55,dual,N,NODATA!,,,Manual charge control,100,"double glazing, unknown install date",Normal,0,3,3,100,0,"Electric immersion, off-peak",Poor,Very Poor,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Timber frame, as built, insulated (assumed)",Good,Good,Portable electric heaters (assumed),,,"Pitched, 100 mm loft insulation",Average,Average,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),0,NO DATA!,,,0,,natural,"1, Halses Close",Exeter,Exeter,99108043c4b8bd0fa5973203aa6a809bd32fd2fa00b7d9cf9f2b72f2039b7a6a
7.85779520141218E+020,"80, Magdalen Road",,,EX2 4TT,6976518968,F,D,35,65,House,Detached,2014-12-18,E07000041,E14000698,Devon,2014-12-18,none of the above,27,53,406,208,13,72,6.5,110,83,2265,1289,151,187,177,Single,Y,NODATA!,,,"Programmer, room thermostat and TRVs",100,double glazing installed during or after 2002,Normal,1,8,8,67,2,"From main system, no cylinder thermostat",Poor,Poor,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",,,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,,,N,natural,"80, Magdalen Road",Exeter,Exeter,cd487e56f904b5ad1f0cb1d9e7bf2102db08b8a7234de8b80d65b9d747966e66
1.46644582016073E+021,"2, Weycroft Close",,,EX1 3UJ,7856926478,D,C,64,75,Flat,Detached,2016-07-27,E07000041,E14000698,Devon,2016-07-27,marketed sale,44,58,447,316,3.6,76,2.6,40,40,437,243,128,128,48,dual,N,Ground,N,,Manual charge control,100,double glazing installed before 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Average,Poor,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",,,(another dwelling above),,,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),0,no corridor,,2.37,,N,natural,"2, Weycroft Close",Exeter,Exeter,8cb07124a54a96c1aa7b1ff68a0545b73fcee907e07bca1bb90cf110a3830f3a
3.71215720140819E+020,"3a, Kingfisher Drive",,,EX4 4SN,9916887668,D,B,67,83,Bungalow,Detached,2014-08-19,E07000041,E14000698,Devon,2014-08-19,marketed sale,66,82,181,76,2.9,35,1.3,79,52,558,478,102,71,84,Unknown,Y,NODATA!,,,"Programmer, room thermostat and TRVs",100,double glazing installed before 2002,Normal,1,4,4,50,0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,,0,,natural,"3a, Kingfisher Drive",Exeter,Exeter,52d8cfae48c5eefc667803a05da8b07abeb975f816a1e221fcf0cb7df3776555
1.46485422016072E+021,"68, Summerway",,,EX4 8DN,4556816478,B,B,87,91,House,Mid-Terrace,2016-07-21,E07000041,E14000698,Devon,2016-07-22,rental (social),84,89,69,38,1.1,13,0.6,81,56,428,392,109,72,85,Single,Y,NODATA!,,,"Programmer, room thermostat and TRVs",100,"double glazing, unknown install date",Normal,0,5,5,56,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 56% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.49,,N,natural,"68, Summerway",Exeter,Exeter,011e6c17d534093b7619c6ad43a0984cece0e0b046c0b7c40c258b4bdc511963
